idx,lib_index,cps_name,lib_obs,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,source,source_name,snr
393,393,209393,rj152.513,5650.9,25.0,0.86,0.02,4.5675,0.027999999999999997,-0.1354,0.01,0.94,0.01,9.22,0.26,4.24,Brewer,HD 209393,152.53189086914062
394,394,66428,rj06.1076,5669.9,25.0,1.2,0.07,4.2868,0.027999999999999997,0.2338,0.01,1.02,0.02,9.92,0.06,1.7,Brewer,HD 66428,173.60648345947266
395,395,135101A,rj72.454,5677.2,25.0,1.29,0.08,4.2022,0.027999999999999997,0.0441,0.01,0.98,0.02,10.02,0.03,1.9,Brewer,HD 135101 A,152.86470794677734
396,396,21774,rj187.92,5691.9,25.0,1.25,0.07,4.2504,0.027999999999999997,0.2041,0.01,1.02,0.02,9.95,0.04,2.29,Brewer,HD 21774,153.48751068115234
397,397,30708,rj187.378,5707.4,25.0,1.23,0.07,4.2565,0.027999999999999997,0.1479,0.01,1.01,0.02,9.95,0.04,1.24,Brewer,HD 30708,155.5335922241211
398,398,110537,rj06.1121,5718.3,25.0,1.16,0.06,4.3034,0.027999999999999997,0.08,0.01,0.99,0.02,9.94,0.05,1.94,Brewer,HD 110537,173.41260528564453
399,399,42807,rj187.126,5730.1,25.0,0.92,0.02,4.5214,0.027999999999999997,0.0071,0.01,1.0,0.02,9.24,0.26,4.27,Brewer,HD 42807,129.72283935546878
400,400,K00261,rj96.782,5740.0,25.0,0.94,0.03,4.5023,0.027999999999999997,0.0533,0.01,1.01,0.02,9.28,0.28,1.75,Brewer,Kepler-96,152.2713165283203
401,401,28005,rj50.266,5747.3,25.0,1.32,0.08,4.243,0.027999999999999997,0.2766,0.01,1.11,0.04,9.79,0.07,2.86,Brewer,HD 28005,163.5146713256836
402,402,38467,rj04.886,5753.4,25.0,1.44,0.09,4.1533,0.027999999999999997,0.2431,0.01,1.09,0.04,9.87,0.06,2.21,Brewer,HD 38467,160.38375854492188
403,403,104437,rj32.1740,5760.9,25.0,1.05,0.05,4.3995,0.027999999999999997,0.1651,0.01,1.03,0.02,9.7,0.16,1.6,Brewer,HD 104437,163.68270111083984
